text, label, file
"What were some examples of patent applications that Einstein evaluated at the Swiss Patent Office, and how do you think his work in evaluating these inventions may have influenced his development of special theory of relativity?", 0, ./chunks/test.txt
"What was the significance of Einstein's work at the Swiss Patent Office in relation to his development of his special theory of relativity?", 0, ./chunks/test.txt
"What was the significance of Einstein's work at the Swiss Patent Office in relation to his development of his special theory of relativity?", 0, ./chunks/test.txt
"What was the nature of the intellectual discussions that took place at the Olympia Academy, the informal group formed by Einstein and his friends in Bern?", 0, ./chunks/test.txt
"What were some of the patent applications that Einstein evaluated as an assistant examiner at the Swiss Patent Office, and how did his work on these inventions influence his development of his special theory of relativity?", 0, ./chunks/test.txt
"What was the significance of Einstein's work at the Swiss Patent Office in relation to his development of special theory of relativity?", 0, ./chunks/test.txt
"What were some of the inventions or ideas that Einstein evaluated at the Swiss Patent Office, which may have inspired his development of special theory of relativity?", 0, ./chunks/test.txt
"What was the outcome of Einstein's attempts to secure a teaching position in Swiss schools after his graduation from Federal Polytechnic School in 1900?", 0, ./chunks/test.txt
"What was the primary reason why Swiss schools were unable to offer Einstein a teaching position despite his efforts over almost two years?", 0, ./chunks/test.txt
"What was the significance of Einstein's experience working as an assistant examiner at the Swiss Patent Office in shaping his development of special theory of relativity?", 0, ./chunks/test.txt
"What was the outcome of Einstein's application to Swiss schools for a teaching position, and how did it affect his career path?", 0, ./chunks/test.txt
"What were some of the inventions or ideas that Einstein evaluated at the Swiss Patent Office during his time there?", 0, ./chunks/test.txt
"What was the outcome of Einstein's job search in Swiss schools after his successful acquisition of Swiss citizenship in February 1901?", 0, ./chunks/test.txt
"What was the primary reason why Swiss authorities deemed Einstein medically unfit for military service when he acquired Swiss citizenship in February 1901?", 0, ./chunks/test.txt
"What was the outcome when Einstein applied for teaching positions in Swiss schools after graduating from the Federal Polytechnic School in 1900?", 0, ./chunks/test.txt
"What was the occupation that Einstein landed at the Swiss Patent Office, where he worked as an assistant examiner?", 0, ./chunks/test.txt
"What role did the Swiss Patent Office play in the development of Einstein's special theory of relativity?", 0, ./chunks/test.txt
"What were some of the inventions or patent applications that Einstein evaluated at the Swiss Patent Office, and how did this experience potentially influence his development of special theory of relativity?", 0, ./chunks/test.txt
"What was the nature of the work that Einstein did as an assistant examiner at the Swiss Patent Office, and how might it have influenced his development of his special theory of relativity?", 0, ./chunks/test.txt
"What was the reason given by the Swiss authorities for Einstein's medical unfitness for military service after he acquired Swiss citizenship in February 1901?", 0, ./chunks/test.txt
"How did Einstein's experiences at the Swiss Patent Office influence his development of special theory of relativity, and what specific ideas or concepts from his work there might have contributed to his groundbreaking theories?", 0, ./chunks/test.txt
"What was the outcome of Einstein's job search in Swiss schools after his graduation from the Federal Polytechnic School in 1900?", 0, ./chunks/test.txt
"What was the outcome of Einstein's job search in Switzerland, and how did it affect his career trajectory?", 0, ./chunks/test.txt
"What was the outcome of Einstein's efforts to secure a teaching position in Swiss schools despite spending almost two years applying?", 0, ./chunks/test.txt
"What was the specific type of patent applications that Einstein evaluated at the Swiss Patent Office, including one idea for a device to sort gravel?", 0, ./chunks/test.txt
"What was Einstein's occupation at the Swiss Patent Office, and what kind of patent applications did he evaluate during his time there?", 0, ./chunks/test.txt
"What was the significance of Einstein's work at the Swiss Patent Office in Bern, aside from simply evaluating patent applications?", 0, ./chunks/test.txt
"What was the outcome of Einstein's application process for a teaching position in Swiss schools after he graduated from the Federal Polytechnic School in 1900?", 0, ./chunks/test.txt
"How did Einstein's work at the Swiss Patent Office influence his development of his special theory of relativity?", 0, ./chunks/test.txt
"What was the nature of the inventions that Einstein evaluated as an assistant examiner at the Swiss Patent Office, and how might these have influenced his development of his special theory of relativity?", 0, ./chunks/test.txt
"What was the most unusual or unexpected aspect of Einstein's early career after graduating from the Federal Polytechnic School in 1900?", 0, ./chunks/test.txt
"What was the outcome of Einstein's job search in Switzerland after he graduated from the Federal Polytechnic School in 1900?", 0, ./chunks/test.txt
"What was the nature of Einstein's work at the Swiss Patent Office that might have influenced his development of his special theory of relativity?", 0, ./chunks/test.txt
"What was the outcome of Einstein's job search in Switzerland before he secured a position at the Swiss Patent Office?", 0, ./chunks/test.txt
"What motivated Einstein to apply for a teaching position at Swiss schools despite not having any success in securing one?", 0, ./chunks/test.txt
"What was the significance of Einstein's work at the Swiss Patent Office in terms of his development as a physicist?", 0, ./chunks/test.txt
"What was the outcome of Einstein's two-year effort to secure a teaching position in Swiss schools after his graduation from Federal Polytechnic School in 1900?", 0, ./chunks/test.txt
